,X,obs,pred
5418,i m a huge fan of the pumpkin spice coffee that s being sold at starbucks   it gets expensive  my bestfriend told me that coffee mate was selling this so i gave it a try   i m very impressed by the quality and taste  the only down side is 5 grams of sugar for 1 tablespoon   i recommend to any one reading this to buy it but go easy on the teaspoons  wish it wasn t seasonal,1,0
5417,i am not a big fan of sugared drinks and i always try to consume sugar free liquids  red bull regular is a taste i do not like so i take the sugar free kind  this is better to mix with vodka too since you don t need more sugar with alcohol  decent taste for sugar free,1,0
5416,i ve been stuck buying the only other overpriced 7d dried mango listing on amazon for quite a while now  i stopped ordering a while back since it was too expensive to do so  but with this new listing offering these my favorite mangoes at a reasonable price  i guess it s back to healthy snacking  great mangoes at a great price ,1,0
5423,most recipes i ve been using lately request half a cup  a quarter cup  etc of chili powder  so my little store bought bottles are pretty much useless  go for the big bottle  and cook away  chili to last a while,1,0
5415,we bought these because we had liked the unflavored variety when we had them previously   we were not disappointed in any way by the four varieties in this assortment  and liked them well enough we bought more   they are perfect for a gift for someone who has almost everything and also for us to eat ourselves  not just peanuts ,1,0
5412,the bully stick wrapped around the bone is probably a standard size  which  for people who don t know bully sticks as well as i wish i didn t  is less than 1 inch thick  but usually bigger than 1 2 inch   my dog is a heavy chewer  she has not met a bully  a bone  a pen  a tissue  a piece of wood she doesn t like to chew   i think that it takes her a little longer to get through this bully stick than a normal straight  12  stick because it is more of a puzzle   the bone adds a little bit of a challenge she doesn t spend a lot of time chewing on the bone   i think it must be frustrating because she can t get anywhere   instead of throwing it out  i stuff it with peanut butter and a little kibble and put it in the freezer   i think of it as a  bone kong  even though that sounds gross   anyway  i give it to her as a treat and she loves to dig for the peanut butter the bully bone is approx  3 5  long and 1 5  wide at it s widest point   my dog is a 50lb pittie mix and she chews on it without a danger of swallowing it   if i had a bigger dog  i might steer clear of this treat   for small and medium sized dogs  this  3  treat is worth it  3 in 1 bully wrapped bone,1,0
5410,well  we were immediately drawn to these  since they have a caramel apple flavor we ordered them from amazon  and quite frankly  a lot of the small bars arrived a bitmushed  we put them in the refrigerator to firm them back up  but that wasn t the problem i m not sure if it was from the cat toy  something for them to rub their faces on  in the sameshipment box could have done the smushing  or if they were improperly stored at the warehouse level we haven t found any that didn t have the actual bar cracked  making the caramel stick to the paper that being said  i love regular milky ways  so didn t think this could be too horrible it isn t  but  it also wasn t worth the price we paid for them i have included a photo of the inside the taste is pleasant  for sure  i think it was the relative cost to candy ratio and the condition in whichthey arrived which was annoying for me  the caramel is just like a regular milky way and tasty the apple part is the bottom nougat   it is a white shade  and tastes like a candy apple more than acaramel apple  so  you have a candy apple bottom with the caramel on the top again  good  but nothing to do a city wide search to find  these are good  but nothing to faint over,1,0
5408,worked ok  kind of a pain to keep squirting it over and over  thinking an aerosol would have been better  it s bug spray,1,0
5407,while heating up some oil to fry some vegetables and an egg on  i threw about a tablespoon of this sauce into the frying pan for seasoning  i had used about 1 3 of the bottle so i knew what i was getting myself into  i must have not realized that the oil was too hot to add liquid to without causing it to vaporize  instantly after pouring it in it began to boil violently  a sizeable cloud of dave s hot sauce quickly formed above the pan  i thought it would be ok at first  i backed off after getting a small whiff of it  it was very potent  like mace  after about 25 seconds i couldn t stop coughing but i continued cooking thinking that just the small whiff had gotten into the wrong place in my throat and i would soon return to normal  little did i know that it s vapors were spreading throughout the house  within minutes my roommates were coughing across the house  my dog was also wheezing after opening all the windows and doors in the house and turning some fans on i ate my egg vegetable patty sandwich  even with no visible signs of dave s hot sauce left in the pan it was still very hot  to my liking this sauce should be used with caution  when consumed the wrong way it is very unpleasant  sauce not meant to be inhaled,1,0
5406,i was looking for a delicious  yet healthful vegan vegetable broth powder and came across this brand   i did my research online and almost every site had favorable reviews for this product   reading some of the other reviews for other brands   cough  vogue      i found them suspicious  always need to be careful with reviews  since companies hire people to write positive reviews    i was torn between buying this product or rapunzel    i was not familiar with this brand  but was familiar with rapunzel because i bought it in the past at a local whole foods and thought it was adequate but did not like the fact that the cubes contained so much palm oil  took forever for a cube to dissolve into boiling water    i am in no means a crunchy granola vegan and think that i am pretty discerning when it comes to taste i followed the directions of this product and dissolved 1 teaspoon into 1 cup boiling water  pros  the result was a fine tasting broth    some of the yeast extract did not fully dissolve into the solution  i stirred quite a bit  but the broth was good nonetheless    surprisingly  the broth was not as salty as i thought   additionally  you can see all the bits and pieces of the herbs that this product contains  cons  the container is a bit flimsy   it was hard to pull off the inner aluminum foil   if not careful you will have vegetable powder all over yourself   this may be trivial  but the packaging is very outdated   it s 2012 and the company can surely hire a graphic designer that can produce better packaging design than what they have now   while i was researching  it seemed as though a fair amount of people make their own vegan vegetable powder   almost all recipes use nutritional yeast as its base  but differ on the rest of the ingredients  for instance  once used powder versions of many ingredients  while another recipe basically took whole vegetables chopped up  cubed  and dehydrated and food processed into powder form  i prefer powder broth over cubes   it s a lot more convenient  and you have better control and adjust the strength of your broth   with this said  the broth does in some way feel like it is missing something     i might purchase the rapunzel powder to see how good that product is   i predict that i might get tired of this broth  considering amazon sells it to you in a pack of 6  it isn t a bad idea to have a back up brand to change up the flavor   the rapunzel powder however has more salt  and seems to have less vegetable ingredients  i like the fact that this brand has a lot of vegetable ingredients  and some that are not common in the u s   like lovage    what rapunzel has going for it is that it is organic  while this is just  all natural   which is fine  buy all your vegan broth products on amazon   you will get an amazing price   i can t find any of these products at a normal supermarket  and whole foods charges an arm and a leg for these things   even with many new trader joe s that just opened up in nyc giving whole foods competition and a run for its money  tj just doesn t have the wide variety of niche products that whole foods has update     this product tastes better than the rapunzel vegetable broth powder  i have both    using the recommended directions for both products  seitenbacher has a deeper  more complex flavor whereas rapunzel s tastes very salty  salt is the  1 ingredient in rapunzel    if you want flavor  go for seitenbacher   if you are obsessed about everything being organic  then go for rapunzel  surprisingly satisfying ,1,0
5405,the replacement globe for the gum machine was the exact fit   it shipped to canada much faster then promised   it was packaged very well and when opened there was not even a finger print on the globe excellent service  exact replacement,1,0
5404,i really enjoy using this product in cooking  popcorn  pancakes  etc  but both shipments i have received have leaked a little  it was strange because the product seemed sealed  i did not find any evidence that it had been opened   but there were clear oil drippings that seeped through the packaging  it was definately coconut oil  as i could tell from the scent  i will no longer get this item shipped  instead i will buy some at a store  great quality  not a good item shipped ,1,0
5413,i don t have a scale  but i don t think this is 5 pounds 8g balls x 235pc   1880g1880g   28g   67 14oz67 14oz   16oz   4 20 poundsstill a ton of candy  but it was falsely advertised  even if they were the 9g fireballs i m used to  the numbers would give me 4 72 pounds  8g balls  235pc  4 2lbs,1,0
5448,   for a tea is that it taste good black   this one passes the test  though is perhaps not as flavorful as a quality earl grey  my minimum requirement    ,1,0
5424,ours is a small dog  havanese  so the thinness of the bully stick is appropriate   i cut the stick into 3x 6  sticks   the dog loved it   the lasted a long time and  as advertised  it is odorless   it s a fine product  met all expectations,1,0
5426,this dogfood has never been recalled  has protein as the first two ingredients  and is organic  doesnt make my dog throw up like when she tries other dogfoods full of fat and fakeness  cant get better  how dogfood should be,1,0
5446,the dvd arrived in brand new packaging and i received it timely and when i was told that i would   would buy again  great experience ,1,0
5445,i bought this item for an occasional treat but still have to find the right setting use to make it have that perfect flavor  the largest  travel mug  setting leaves the coffee too weak and the smallest  coffee cup  setting is too much and even the middle size isn t  just right  and sort of tastes like a  lite  cappaccino  i never thought i was hard to please but it seems like this has proven me wrong the price is pretty good so i can t complain on that note  but i guess i m going to continue to drink this item and let it grow on me  as a now and then cup of cappaccino it s ok the 4 star rating is for the price and convenience of not traveling miles to get a cappaccino  not as good as starbucks  but better price,1,0
5444,somehow i purchased this very high quality organic miso paste under the assumption that i was buying white miso   this is red miso   i am honestly not as fond of red miso  and i would not have bought this had i realized i was ordering the red   that being said  it is obviously a fantastic product  and it does have a lot of flavor   unless you eat miso soup every day  i think the three pack will last people a long time   and  truly  i just bumped this up from a three star to a four star review because i don t want other people who do prefer red miso to be turned off by a bad rating  when indeed this is a fine product   but i really want to just give it three stars   it s okay   because i honestly don t like red miso as much  i wanted white miso instead  and i m disappointed i made the mistake of buying red   so i guess you could say i took away a star because i don t think it s very clear on the package exactly what type of miso you re getting when you order this product  the rating is for the type of miso  not the quality,1,0
5443,i was disheartened to find that this item is no longer stocked at the grocers   however  after calling the company i was informed that this item had changed names but could be ordered on line   yeah     i love it    durkee steak seasoning,1,0
5442,my favorite kind of gingers  i didn t want to pay 25 bucks but then i thought to look here and voila  same product you see in stores  on the reeds site  just half the price    my fave ,1,0
5441,i have to say  lipton did not disappoint with this lovely tea  the berry flavor was vibrant but the vanilla was almost non existent but the berry was a strong and solid flavor  will definitely add to my tea collection  oh and i didn t add any sugar or honey  wasn t needed  lovely tea,1,0
5440,the product was fine but the company never notified me that my order had been placed and after waiting  in vain  for them to email me i decided it had not gone through and ordered from another company  i received the later order before i received this one  that s the first time i have ever ordered anything online and had such shoddy service  necta sweet saccharin,1,0
5425,i wish the jars were bigger   i was expecting 3 jars of the same item and instead got 2 jars that were the same and 1 different product  disappointed,1,0
5439,i was very upset to learn that the only supplier of this product i am aware of in my area no longer carries this product and has substituted a generic product of their own creation  it does not measure up to your product in taste  quality or content their cracker is dry  hard  bland and the roasted black seeds are as hard as non popped popcorn kernels  i very much like this cracker with or without toppings  i was very relieved to be able to go on line and discover that i could order them online  lenora crenshaw  riverside  ca the only cracker that i like,1,0
5435,i have owned a kuerig machine since before they were even a known brand   i have tried every flavor out there but i keep coming back to the chocolate glazed donut   it has a rich  smooth taste that is not too bitter and not too sweet   if you like medium roast  flavored coffee then try this one out  my favorite,1,0
5434,the ingredient list is  salmon  no preservatives  no by products  no grains or other fillers  no dyes  they smell like you would expect dried salmon to smell   not horrendous  but definitely like fish   these are hard treats  but i break them into multiple pieces and they last a long time   i like to give treats that vary from the typical beef and chicken that my dogs already eat  my dogs both love these treats   they are in the  high value  category to them  100  salmon,1,0
5433,i was so pleased when i tried this     i eat it all the time now  the first type i got was mediterranean and the grains were so tiny that it just turned into to a ball of glob  i didn t even realize couscous was pasta until i tried this israeli brand  the kids love it too   trying to catch all the little balls of goodness with their spoons  love this stuff,1,0
5431,very good drink to replenish fluid and electrolytes during exercise with nothing artificial added   this is second shipment for me of this product and unfortunately the cans are not adequately padded and arrive badly dented  natural gator aid,1,0
5430,the product is great  but it came poorly packed   the boxes containing the k cups were all broken apart  some of the k cups were dented but fortunitly none have leaked so far  packing,1,0
5428,a good rooibos and it s organic  however a little too bland for my taste since i m used to vanilla flavored rooibos teas  a good rooibos,1,0
5427,these are a bit large  1 875 ounces  for a single serving  but perhaps you can share it with someone   i thought that i was ordering the snack size charleston chew vanilla flavor 240 count mini bars  but ordered these by mistake   the small bars appear to be available only in the vanilla flavor   these are soft taffy   other varieties of taffy include bonomo turkish taffy   assorted  216 count tub  etc   the charleston chew bars that i received were fresh  and there is a coding on the box that seems to relate to an expiration date   don t know where the other reviewer is buying his candy  large sized chocolate taffy,1,0
5437,this tea was different than i expected  but not due to any kind of misrepresentation  in the past i had purchased my kukicha tea from adagio teas  their kukicha is not roasted  and the color of the tea is a mixture of green and blonde  perhaps it s not a true kukicha  but i really enjoyed it  the davidson s tea has a dark brown roasted color and consists of fairly small twigs  i admit to being a bit disappointed initially since i have not enjoyed roasted teas in the past  ugh  i thought  now i have a huge one pound bag to get through  once i made the first cup  i was pleasantly surprised  the roasted flavor is  to me  more subdued than the dark color would suggest  still prominent  but not overpowering  i ve had at least 25 cups so far and i m not at all tired of the flavor  i also appreciate that it is easy to clean up  some teas cling to the brew basket as they dry  but these  twigs  drop right out  given the price  i m pretty satisfied  different than expected  but enjoyable,1,0
5496,i am a saba fan   it is expensive for this but the intensive flavor given to salad dressings  dips  etc is without equal   use your imagination for this fruity astringent addition   the only responsibily bad results is yours for poor execution  saba,1,0
5497,i have tried a lot of vendors espresso coffee and this one has no bitter after taste  you can very the strength   taste with no bitterness  best espresso coffee i have tried,1,0
5498,i had previously written a bad report about the chocolate lollipops i received in the mail today which were melted  i called the sender and she called me back tonight  she apologized and is going to make and send out new ones right away  she did pack them in dry ice and and ice packets  unfortunately  they sat for a day in the west palm beach post office in the heat  so  the melting problem was not the fault of the sender  and  they are absolutely adorable and look just like the picture  so  i would definately recommend her and order from her again  retraction,1,0
5573,i ordered this mainly because of the price   0 31 disc w supersaver shipping i like this coffee  i gave it 4 stars and not 5 because i am new to tassimo  andwant to leave room at the top of the list for brewsthat i might like better  maxwell house cafe collection french roast  16 count t discs for tassimo brewers  pack of 3 ,1,0
5571,i was the loser in high school  the chicks would run away from me and the dudes would wrap me up in duck tape and throw me into the river saying  why are you at our school  you 30 year old pervert   but one  i came into school with skippy creamy penut butter spread out all over my chest and my life changed  girls started to lick my chest or faint at the sight of me  men would turn in shame  and teachers would give me weird looks and make me pass my class because of the penut butter  this is a great complement for me three wolf moon t shirta word of warning though  if you leave the penut butter on for too long  it will cause a rift in time sending you back to when you were a loser and didn t have a nintendo 64 or a three wolf moon t shirt  skippy changed my life,1,0
5570,this is my first k cup purchase and my first review   this variety mix is perfect   i got 50  completely different k cups   yes  some flavors were the same but they were from different companies so i do not consider them repeats   out of the 50  5 were tea  5 were decaf  3 cappuccinos  2 hot chocolates and the rest were coffee   i am very happy and will be buying this pack in the future  just what i wanted      ,1,0
5568,my pet and i love this stuff   it works great and does not burn like the human version   please  do not use the human version on your pets as it burns like crazy   it does not burn some people but if it burns me i am afraid it would burn a pet   the human version cost just a little less so some people give it to their pets and it has too much alcohol for a pet   pet version is for pets and human is for some humans unless you are sensitive like me then use the human version or the spray   it is really good stuff but human version is for humans who are not sensitive and not for pets  great for humans too  it does not burn,1,0
5567,most soba has a large proportion of wheat flour in it  not this product  it s 80  buckwheat flour and 10  rice flour to readers not familiar with buckwheat  let me just say that you re not likely to put tomato based sauce on this don t think of it as an across the board replacement for semolina style pasta  it has a unique flavor which  to me at least is not compatible withtoppings for semolina pasta  you ll come up with ideas for toppings for this the price and the delivery were good  beyond soba,1,0
5566,clear jell works really well if used  right   it does not tell you to mix it with dry ingredients or it globs up and make a really bad mess  clear jel review,1,0
5565,idk why people are freaking out about the corn content of this product  it is not a gmo  that is personally my only concern when buying something w  corn in it i have tried multiple brands of gluten free pasta and this brand is the only one i like  the corn and rice blends found at other stores  like walmart  are not nearly as tasty as this brand  and they are gmos   i like the grainy texture of this pasta and it always cooks well  it is the only brand i buy now  if a recipe asks for a shape of pasta ancient harvest doesn t carry  we will still use this brand despite not having the right one  our go to pasta,1,0
5574,if you are looking for a li hing mui that doesn t have the nasty nutrasweet taste to it  this is the li hing mui for you  great quality and it is sour and salty  but not salty seed  best li hing mui,1,0
5564,i m a popcorn fiend  maybe too much for my own good   but after a great deal of trial and error  this is the only popcorn we buy   it offers the best value for the money    the kernels pop up light and fluffy and the cost is a whole lot less than what you might pay in the store for even the worst supermarket popcorn   the only popcorn that beats the paragon is orville redenbachers  but i refuse to pay the outrageous price when this stuff is close enough   so  i gave the paragon 4 stars only because orville s is a little better  but if looking strictly at value it s a 5 star deal  the only popcorn we buy ,1,0
5562,i tried this a number of years ago and did not like it  i don t know if my tastes have changed over the years or it has been reformulated but i started using it again about 3 years ago and have been using it ever since on a regular basis  i get it at a local grocery store  the last time i think it was about  4 a bottle  i probably use a bottle every couple of months the texture takes some getting used to  i suspect it is hard to get the typical ketchup texture without using a lot of sugar and actual tomatoes  but they are full of carbs so you can t use much in a product like this i emailed them and asked  they told me all their products are about 4 calories per serving and 0 3 to 0 4 grams of carbs per serving  so it just sneaks under the fda guideline for labeling it as zero carbs and zero calories one you get past the texture  the taste is not too far off  i give it 4 stars as a low carb ketchup substitute  it does not stand up well though against regular sugar laden ketchups  including the low sugar ketchup that really isn t all that low in sugar   not bad as a low carb ketchup,1,0
5561,after reading about pu erh  and then tasting several kinds  i ve decided i like the ripe teas better  but i m open to new pathways  so i decided to get this one and stash it for a couple of years to experience the aging process for myself  it s a small cake  so storage shouldn t be too difficult  and it s a minimal investment   so i m not out for much of a loss if i m not too impressed when i do break it open  from the tasty description  i may have to get another to baseline the taste  stashing this cake for later,1,0
5559,great idea to buy raisins in smaller packages  they don t dry out this way and you don t end up with hard raisins that need to be soaked first before eating   this is the only way i shall buy raisins from now on  love these raisins ,1,0
5558,sprayed this around a rose bush several weeks ago   walked by it today and you guessed it  the grass is dead  it works ,1,0
5556,in the past  the donut house k cups have been of the highest quality   would have been rated 5 stars  however  even tho the quality of the product is still there  the last time i received the 80 pack  several of the k cups were broken   the coffee missing  some of them were broken within the box   the coffee was everywhere  that is the reason for the 4 star rating   will order them once more to see if the last order was an anomaly  donut house k cups,1,0
5555,i love these little sweet monsters for party favors for my seven year old daughter  party   however  i was a bit disappointed because in the picture the sticks look really long  and they re actually short  cool party favors,1,0
5553,was pleased to get this product for such a reasonable price i live off the road sysytem and pay way too much for some things  rotel tomatoes,1,0
5563,though london fruit and herb company s blueberry bliss tea is one of the best teas i have ever had i cannot understand why amazon has not begun shipping it out to customers who ordered this item months ago  it is now available through other vendors  i e  wendell tea company in ma  but not at the amazon price   if is s available to them it should be available to amazon or they should take it off their inventory as an offering london fruit   herb company blueberry bliss tea  20 count  pack of 6  missing in action,1,0
5552,one of the best melitta coffee pods for the one to one  a full body roast  no bitter after taste buzzworthy pods,1,0
5576,as a gluten intolerant person  i loved it when i found annie s macaroni and cheese  which i always made with lactose free milk because i m also lactose intolerant  found it creamy and yummy and healthier  but otherwise much like those other mac n cheese box dinners i ate as a child   for some reason  the cheese in angie s original gluten intolerant mac n cheese didn t bother me    hard cheeses generally don t bother my lactose intolerance   always safe with parmesan  swiss  aged cheddar  but cream cheese  marscapone  brie  etc   are trouble    unfortunately  this creamy deluxe max dinner triggered my lactose intolerance   tried it twice  thinking the first time must have been a fluke  but it wasn t   something to think about if you are both gluten and lactose intolerance   i m back to angie s original mac n cheese and not feeling like i m missing out at all  beware lactose intolerant individuals ,1,0
5578,tried this coffee shortly after getting my keurig brewer   mainly because i hoped it would taste just like blueberries   while of course it didn t  taste totally of blueberries  i was definitely not disappointed   first cup i brewed  my kitchen smelled so good    couldn t wait to taste it i am one who normally likes  a little coffee with my creamer    not with this coffee   the blueberry taste is not overpowering but i find that i don t need to use as much creamer as with other coffees bottom line if you like the taste of blueberry in your coffee  you ll love it   and have never totally disliked any green mountain coffee   to me it s a a good coffee at a reasonable price   and blueberry is the best   favorite coffee flavor no doubt ,1,0
5596,i had to write something here after reading all of bad reviews  these are obviously reviews from people who s tastebuds have been ruined in regards to what tea is actually supposed to taste like  i can see how this stuff would taste bad if you are used to the majority of tea drinks out there  which are ridiculously high in sugar and added flavor  even the  healthy  and  natural  varieties i was very pleased when i found this tea because it s the only bottled variety i ve found that tastes like the green tea i m served when i eat at a japanese restaurant  it s very refreshing and if your tastebuds arent totally ruined then you ll find it has a very distinct and pleasant leafy flavor  it tastes like  you know  tea leaves  awesome tea  don t listen to the haters ,1,0
5595,karo green label was the only syrup used in my momma s pecan pie  and my momma made a  mean  pecan pie disappointed to not be able to locate it on grocer s shelves     i ve used other syrup  karo dark and light  and it just doesn t live up to the green  if it s not  green label    it s not pecanpie ,1,0
5594,my dog loves these  but they are way too expensive  if they were 1  each  or even 2  each  i would buy them again  love it  but too expensive ,1,0
5593,the good news is that it is dark and relatively full bodied   it was certainly better than the eight o clock coffee 100  colombian 96 k cups that i tried before this cup for twenty years  eight o clock colombian  ground fresh at a p  was the only coffee we drank   so i ordered both it and the dark italian just as soon as they became available   either my tastes have changed or the coffee has changed but i found the colombia version weak and lacking in character the eight o clock italian roast  however  was stout enough and should be to most people s liking   i brewed it at the 7 oz  middle button  size and tried it without cream and then with a single squirt of coffee creamer   it was strong enough to not let the cream taste dominate the bad news is that it does not come up to the standard of either barista prima coffeehouse  italian roast  24  count k cup portion pack for keurig brewers or timothy s world coffee rainforest espresso k cup  48 count   good news and bad news,1,0
5592,this is a good sauce to use as a base  i wouldn t call it marinara  just plain old spaghetti sauce  okay sauce,1,0
5591,my yorkie is very picky but lives these  he hates the greenie chews and these are less expensive  i would buy them again  dog likes them,1,0
5589,the product is as advertised and the quality is un compromised   the only issue i had was not knowing that by saying  sweet li hing mui  i was really getting something with virtually no saltiness to it   they fine  just not what i was looking for   i gave it 4 stars because there s nothing wrong with it  it s just that i  like others have commented  wanted something a bit more salty than these  sweet indeed,1,0
5577,i had decided packaged oatmeal was a disappointing mush   umpqua oats won me over   always warm and hearty  with just the right amounts of sweet  salty  and whole oats   mostly sunny and kick start are my two favorites  but i ordered the 12 variety pack to change it up a bit  and was not disappointed  my favorite breakfast,1,0
5588,pink grapefruit juice is one of my favorites  unfortunately the bottles were not packaged well  could not pour without spilling because the top of the bottles were misshapen  i guess something heavy was put on top of them  delicious  but top of bottles came crushed,1,0
5586,other reviewers are right and wrong right the packaging sucks  all 3 of my little tubs came flattened and semi crushed  luckily they had a thin plastic seal under the lid or i would have had a slimy mess  surely you guys could pack this better  right the product is almost tasteless and looks like old crisco wrong to some about the taste on the corn  i thought it was delicious  it woke up each salty nugget and helped them to slide right down  by itself no taste  in concert with the corn  perfect  tasted just like theater butter to me  i did get a feeling of major vessels closing down a little with each bite  i was tinged blue and short of breath when i finished  but what do you expect it s fat poured over salty corn  it is supposed to kill you anyway i ll be ordering more     after my bypass     the real story,1,0
5585,i recently purchased a keurig machine and wasn t cure what kind of k cups i should get i didn t want to commit to a large box of one flavor becausea  i like variety and b  what if i didn t like the flavor so  despite many awful reviews  i decided to take a risk and order this project and like the title says  i was pleasantly surprised the product came in a rectangular box  not the paper bag many reviewers were offended by  and the k cups were nicely organized inside i received a wide variety of k cups from different companies  while many of them were vanilla or caramel  even those came in a variety of blends and companies also included were several cappuccino k cups  which i didn t even know existed additionally  considering it was fall  i received two pumpkin spice k cups   yum 2 brooklyn maple sleigh2 brooklyn hazelnut2 brooklyn vanilla skyline1 green mountain mocha nut fudge1 green mountain wild mountain blueberry2 green mountain island coconut   limited edition1 green mountain french vanilla decaf1 green mountain french vanilla1 green mountain hazelnut decaf1 green mountain french vanilla iced coffee1 green mountain hazelnut noisette1 green mountain caramel creme vanilla2 green mountain pumpkin spice   limited edition1 green mountain southern pecan2 grove square french vanilla cappuccino   dairy2 grove square caramel cappuccino   dairy2 grove square hazelnut cappuccino  dairy2 kahlua original1 gloria jean s mudslide1 gloria jean s french vanilla supreme1 gloria jean s butter toffee1 gloria jean s hazelnut1 wolfgang puck jamaica me crazy1 donut shop collection cinnamon roll1 donut shop collection chocolate glazed donutas well as a couple others that i have already drank and don t recall which they were overall i was very pleased with the variety i received and none of the included cups were expired  damaged or dried out in any way would definitely order again and suggest it to others p s  all of the included k cups were certified kosher  pleasantly surprised    and kosher ,1,0
5584,it s not too sweet  not too bland  just the right crunch  i like it with milk or mixed with yogurt  great cereal ,1,0
5583,i m picky about my green teas  sometimes they re too weak  sometimes it just doesn t smell taste like green tea  or sometimes it s just horribly bitter sour and unpalatable  think most grocery store teas  but stash s green tea is terrific  there s a good element of leafyness  it is green after all  without much bitter sourness  i can usually pull at least 2 good cups of hot green tea from each tea bag i was actually previously disappointed by yogi s green tea  it s just purely green tea leaves  can t remember the exact name of it though    when steeped in hot water it smelled like burnt tires  so i almost lost hope in american grocery store teas  i previously would only buy the yamamotoyama green teas  slight roasted flavor  and stash s green tea tastes remarkably similar  which makes me incredibly happy due to the stash tea sales that have been going on at my local markets  woo    delicious ,1,0
5582,this was place in the wrong mail box  a kind neighbor brought it over   candy rocks   pebbles 1lb bag  i apologize ,1,0
5581,these cakes are quite tasty and similar to the commercially available zingers  only about half of the size per cake  each one is about four bites worth  a nice expenditure if you have reserve points but not filling if you are hungry for sweets   oh  these are available at about  3 50 per box  three costing you  10 50  in stop and shop and most supermarkets  amazon charges double  i don t know about you  but i work hard for my money and cannot see paying twice what is it worth    um    talk about a rip off ,1,0
5579,i drink this with sparkling water   the taste is great   if you re not worried about calories you can stop reading but if you haven t tried it before  don t be fooled by the name  drinking vinegar   there are a lot of sweeteners in this   here are the first four ingredients   cornelian cherry and pomegranate rice vinegar  high fructose corn syrup  dextrose  fructooligosaccharide   that s vinegar  then three sweeteners   the remaining ingredients are apple juice  mixed apple juice  and water two ounces of this drinking vinegar has 120 calories   so this not the miller lite of drinking vinegars one other thing  since cornelian cherry is a type of dogwood  this should probably be called  sempio drinking black rice vinegar    dogwood pomegranate     great taste   but not less filling,1,0
5587,nice change from the old style  boxes  where there was lots of packaging that went into the garbage  eco friendly  good seal so no problem with pectin becoming clumpy  at least so far screw bottle style also useful when you want to do a smaller batch of fruit towards the end of the season ball is the gold standard in canning supplies  i gave this product a try and was not disappointed  usual great ball quality,1,0
5550,i love caribou decaf or regular  for me the flavor is just right  not too strong and not weak  good value for money plus free shipping  medium roast  good flavor ,1,0
5546,this is a light  sweet  chewy licorice that bears little resemblance to us or australian varieties   it s finnish  and it s got more of a gummy bear texture  though not so rubbery   strong flavors of strawberry with a hint of citrus  good chew   i love it   tubi black tire tread and finnska red and black licorice bites are also excellent  addictive,1,0
5545,in nj  it s hard to get green coconuts with any regularity  so i tried a lot of the boxed versions  one with guava is generally flavored well  doesn t have that  old  taste that the other brands can get  and the guava flavor reminds me of hawaii  tasty,1,0
5517,had to 5 star it to enter my review not at all like the marmite iv been eating color texture was wrong glad to return it i wont order another  not happy ,1,0
5515,lamenting that i could no longer buy postum  i sought a substitute  this stuff is actually better   no  you would not mistake it for coffee  but it is a tasty dark brown hot beverage  i will buy again  postum  who needs it ,1,0
5514,the product is very effective for what it does and easy to use  but it will not cure a roach problem  only reduce it  i think it should be used with something else to take care of the source of the problem  good  but an incomplete solution,1,0
5512,we have 6 cats and all have different likes and dislikes in food choices   i can say that the variety in this package satisfied all of there tastes  i was not scraping out dried out leftover food from the dishes   it was eaten by all of them  savory shreds,1,0
5511,all of the luck s edible images are beautiful  and they work exceptionally well on fondant  gum paste  buttercream  royal icing   i ve even used them on white chocolate   i ve never had a problem with the luck s edible images arriving dried out or broken    but you must keep the images in their foil package when they re not in use  otherwise  they will dry out    these images don t come with instructions  so if you do not have experience with edible images  you ll have to do some online research about using them on cakes or cookies   for basic cake decorating  roll out a large piece of fondant  drape it over your iced cake  and smooth and trim the fondant all around the cake   then  slightly moisten the fondant using a paint brush and water only at the points on the fondant where the edible image will cover    you don t want to get the water on the areas of the fondant that will not have the edible image covering    peel off your edible image  wrap it around the side of the cake or place it on top of the cake  and voila   you have a decorated cake  beautiful designs for your cakes  cookies  etc ,1,0
5510,this product is great   my greyhounds love them  they don t last as long as a rawhide would  but they are safe and good for my dogs   and  it is made in the usa   wisconsin  in fact   don t be fooled by negative nancies that post false information on their reviews about this product being from china   i have nothing to gain by posting this   not an invester  employee or seller of these chews   i am just sad to see false information being put out there   i am buying more of these chews  made in the usa,1,0
5508,turkey    it is delicious once you get used to the smoked taste of the turkey stick  it took me a week to get used to it  now i love snacking on them all the time  there are about 40 turkey sticks in each package  they are not greasey or nasty tasting  they do not leave a greasey taste in your mouth  old wisconsin turkey snack sticks are ready to eat  after you open the package you want to put them into the refrigerator and maybe into a zip lock bag  they come in one bag and it is not re usable or re sealable  their website is       if you would like to read up on this or other products  it is a good protein source and it has very little carbohydrates in it  freshness date for example from mine was  may 24 2013  i hope i was able to help someone to give these snacks a try  very good,1,0
5518,can t give it five starts because i am not the end user of this product  but the cat seems to eat it  so it can t be that bad  she comes running when i put the food in the bowl if that means anything  not like she has another choice  i wish i could be excited about eating the same thing everyday    cat seems to like it,1,0
5507,the best instant cafe maxwell house has but unfortunately they havs discontinued it   i am very disappointed and would like the decision to discontinue reconsidered vanilla nut cafe,1,0
5505,i love this new idea that they will send you a batch of these every 3 or 6 months   the idea is genius   i wish i could give you more stars  every 3 months ,1,0
